Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
6689.01/XW/ST,STAR ZERO 350mA 2700K,  152.00 ,3
6689.02/W/25,STAR ZERO 350mA 4000K,  152.00 ,3
6689.02/W/48,STAR ZERO 350mA 4000K,  152.00 ,3
6689.02/W/63,STAR ZERO 350mA 4000K,  152.00 ,3
6689.02/W/ST,STAR ZERO 350mA 4000K,  152.00 ,3
6689.02/WW/25,STAR ZERO 350mA 3000K,  152.00 ,3
6689.02/WW/48,STAR ZERO 350mA 3000K,  152.00 ,3
6689.02/WW/63,STAR ZERO 350mA 3000K,  152.00 ,3
6689.02/WW/ST,STAR ZERO 350mA 3000K,  152.00 ,3
6689.02/XW/25,STAR ZERO 350mA 2700K,  152.00 ,3
6689.02/XW/48,STAR ZERO 350mA 2700K,  152.00 ,3
6689.02/XW/63,STAR ZERO 350mA 2700K,  152.00 ,3
6689.02/XW/ST,STAR ZERO 350mA 2700K,  152.00 ,3
6690.01/W/18,STAR 1 350mA 4000K 18°,  77.00 ,3
6690.01/W/40,STAR 1 350mA 4000K 40°,  77.00 ,3
6690.01/W/60,STAR 1 350mA 4000K 60°,  77.00 ,3
6690.01/W/ST,STAR 1 350mA 4000K VETRO SAT.,  77.00 ,3
6690.01/WW/18,STAR 1 350mA 3000K 18°,  77.00 ,3
6690.01/WW/40,STAR 1 350mA 3000K 40°,  77.00 ,3
6690.01/WW/60,STAR 1 350mA 3000K 60°,  77.00 ,3
6690.01/WW/ST,STAR 1 350mA 3000K VETRO SAT.,  77.00 ,3
6690.01/XW/18,STAR 1 350mA 2700K 18°,  77.00 ,3
6690.01/XW/40,STAR 1 350mA 2700K 40°,  77.00 ,3
6690.01/XW/60,STAR 1 350mA 2700K 60°,  77.00 ,3
6690.01/XW/ST,STAR 1 350mA 2700K VETRO SAT.,  77.00 ,3
6690.02/W/18,STAR 1 350mA 4000K 18°,  77.00 ,3
6690.02/W/40,STAR 1 350mA 4000K 40°,  77.00 ,3
6690.02/W/60,STAR 1 350mA 4000K 60°,  77.00 ,3
6690.02/W/ST,STAR 1 350mA 4000K VETRO SAT.,  77.00 ,3
6690.02/WW/18,STAR 1 350mA 3000K 18°,  77.00 ,3
6690.02/WW/40,STAR 1 350mA 3000K 40°,  77.00 ,3
6690.02/WW/60,STAR 1 350mA 3000K 60°,  77.00 ,3
6690.02/WW/ST,STAR 1 350mA 3000K VETRO SAT.,  77.00 ,3
6690.02/XW/18,STAR 1 350mA 2700K 18°,  77.00 ,3
6690.02/XW/40,STAR 1 350mA 2700K 40°,  77.00 ,3
6690.02/XW/60,STAR 1 350mA 2700K 60°,  77.00 ,3
6690.02/XW/ST,STAR 1 350mA 2700K VETRO SAT.,  77.00 ,3
6690.25/W/18,STAR 1 350mA 4000K 18°,  82.00 ,3
6690.25/W/40,STAR 1 350mA 4000K 40°,  82.00 ,3
6690.25/W/60,STAR 1 350mA 4000K 60°,  82.00 ,3
6690.25/W/ST,STAR 1 350mA 4000K VETRO SAT.,  82.00 ,3
6690.25/WW/18,STAR 1 350mA 3000K 18°,  82.00 ,3
6690.25/WW/40,STAR 1 350mA 3000K 40°,  82.00 ,3
6690.25/WW/60,STAR 1 350mA 3000K 60°,  82.00 ,3
6690.25/WW/ST,STAR 1 350mA 3000K VETRO SAT.,  82.00 ,3
6690.25/XW/18,STAR 1 350mA 2700K 18°,  82.00 ,3
6690.25/XW/40,STAR 1 350mA 2700K 40°,  82.00 ,3
6690.25/XW/60,STAR 1 350mA 2700K 60°,  82.00 ,3
6690.25/XW/ST,STAR 1 350mA 2700K VETRO SAT.,  82.00 ,3
6690.32/W/18,STAR 1 350mA 4000K 18°,  78.00 ,3
6690.32/W/40,STAR 1 350mA 4000K 40°,  78.00 ,3
6690.32/W/60,STAR 1 350mA 4000K 60°,  78.00 ,3
6690.32/W/ST,STAR 1 350mA 4000K VETRO SAT.,  78.00 ,3
6690.32/WW/18,STAR 1 350mA 3000K 18°,  78.00 ,3
6690.32/WW/40,STAR 1 350mA 3000K 40°,  78.00 ,3
6690.32/WW/60,STAR 1 350mA 3000K 60°,  78.00 ,3
6690.32/WW/ST,STAR 1 350mA 3000K VETRO SAT.,  78.00 ,3
6690.32/XW/18,STAR 1 350mA 2700K 18°,  78.00 ,3
6690.32/XW/40,STAR 1 350mA 2700K 40°,  78.00 ,3
6690.32/XW/60,STAR 1 350mA 2700K 60°,  78.00 ,3
6690.32/XW/ST,STAR 1 350mA 2700K VETRO SAT.,  78.00 ,3
6691.01/W/18,STAR 2 350mA 4000K 18°,  80.00 ,3
6691.01/W/40,STAR 2 350mA 4000K 40°,  80.00 ,3
6691.01/W/60,STAR 2 350mA 4000K 60°,  80.00 ,3
6691.01/W/ST,STAR 2 350mA 4000K VETRO SAT.,  80.00 ,3
6691.01/WW/18,STAR 2 350mA 3000K 18°,  80.00 ,3
6691.01/WW/40,STAR 2 350mA 3000K 40°,  80.00 ,3
6691.01/WW/60,STAR 2 350mA 3000K 60°,  80.00 ,3
6691.01/WW/ST,STAR 2 350mA 3000K VETRO SAT.,  80.00 ,3
6691.01/XW/18,STAR 2 350mA 2700K 18°,  80.00 ,3
6691.01/XW/40,STAR 2 350mA 2700K 40°,  80.00 ,3
6691.01/XW/60,STAR 2 350mA 2700K 60°,  80.00 ,3
6691.01/XW/ST,STAR 2 350mA 2700K VETRO SAT.,  80.00 ,3
6691.02/W/18,STAR 2 350mA 4000K 18°,  80.00 ,3
6691.02/W/40,STAR 2 350mA 4000K 40°,  80.00 ,3
6691.02/W/60,STAR 2 350mA 4000K 60°,  80.00 ,3
6691.02/W/ST,STAR 2 350mA 4000K VETRO SAT.,  80.00 ,3
6691.02/WW/18,STAR 2 350mA 3000K 18°,  80.00 ,3
6691.02/WW/40,STAR 2 350mA 3000K 40°,  80.00 ,3
6691.02/WW/60,STAR 2 350mA 3000K 60°,  80.00 ,3
6691.02/WW/ST,STAR 2 350mA 3000K VETRO SAT.,  80.00 ,3
6691.02/XW/18,STAR 2 350mA 2700K 18°,  80.00 ,3
6691.02/XW/40,STAR 2 350mA 2700K 40°,  80.00 ,3
6691.02/XW/60,STAR 2 350mA 2700K 60°,  80.00 ,3
6691.02/XW/ST,STAR 2 350mA 2700K VETRO SAT.,  80.00 ,3
6691.25/W/18,STAR 2 350mA 4000K 18°,  85.00 ,3
6691.25/W/40,STAR 2 350mA 4000K 40°,  85.00 ,3
6691.25/W/60,STAR 2 350mA 4000K 60°,  85.00 ,3
6691.25/W/ST,STAR 2 350mA 4000K VETRO SAT.,  85.00 ,3
6691.25/WW/18,STAR 2 350mA 3000K 18°,  85.00 ,3
6691.25/WW/40,STAR 2 350mA 3000K 40°,  85.00 ,3
6691.25/WW/60,STAR 2 350mA 3000K 60°,  85.00 ,3
6691.25/WW/ST,STAR 2 350mA 3000K VETRO SAT.,  85.00 ,3
6691.25/XW/18,STAR 2 350mA 2700K 18°,  85.00 ,3
6691.25/XW/40,STAR 2 350mA 2700K 40°,  85.00 ,3
6691.25/XW/60,STAR 2 350mA 2700K 60°,  85.00 ,3
6691.25/XW/ST,STAR 2 350mA 2700K VETRO SAT.,  85.00 ,3
6691.32/W/18,STAR 2 350mA 4000K 18°,  81.00 ,3
6691.32/W/40,STAR 2 350mA 4000K 40°,  81.00 ,3
6691.32/W/60,STAR 2 350mA 4000K 60°,  81.00 ,3
6691.32/W/ST,STAR 2 350mA 4000K VETRO SAT.,  81.00 ,3
6691.32/WW/18,STAR 2 350mA 3000K 18°,  81.00 ,3
6691.32/WW/40,STAR 2 350mA 3000K 40°,  81.00 ,3
6691.32/WW/60,STAR 2 350mA 3000K 60°,  81.00 ,3
6691.32/WW/ST,STAR 2 350mA 3000K VETRO SAT.,  81.00 ,3
6691.32/XW/18,STAR 2 350mA 2700K 18°,  81.00 ,3
6691.32/XW/40,STAR 2 350mA 2700K 40°,  81.00 ,3
6691.32/XW/60,STAR 2 350mA 2700K 60°,  81.00 ,3
6691.32/XW/ST,STAR 2 350mA 2700K VETRO SAT.,  81.00 ,3
6692.01/W,STAR IP54 150mA 4000K,  74.00 ,3
6692.01/WW,STAR IP54 150mA 3000K,  74.00 ,3
6692.01/XW,STAR IP54 150mA 2700K,  74.00 ,3
6692.02/W,STAR IP54 150mA 4000K,  74.00 ,3
6692.02/WW,STAR IP54 150mA 3000K,  74.00 ,3
6692.02/XW,STAR IP54 150mA 2700K,  74.00 ,3
6692.31/W,STAR IP54 150mA 4000K,  76.00 ,3
6692.31/WW,STAR IP54 150mA 3000K,  76.00 ,3
6692.31/XW,STAR IP54 150mA 2700K,  76.00 ,3
6693.01,STAR RGB IP65 3X250mA,  107.00 ,3
6693.02,STAR RGB IP65 3X250mA,  107.00 ,3
6693.31,STAR RGB IP65 3X250mA,  109.00 ,3
6695.01/W,STAR 3 350mA 4000K,  87.00 ,3
6695.01/WW,STAR 3 350mA 3000K,  87.00 ,3
6695.01/XW,STAR 3 350mA 2700K,  87.00 ,3
6695.02/W,STAR 3 350mA 4000K,  87.00 ,3
6695.02/WW,STAR 3 350mA 3000K,  87.00 ,3
6695.02/XW,STAR 3 350mA 2700K,  87.00 ,3
6695.25/W,STAR 3 350mA 4000K,  91.00 ,3
6695.25/WW,STAR 3 350mA 3000K,  91.00 ,3
6695.25/XW,STAR 3 350mA 2700K,  91.00 ,3
6695.32/W,STAR 3 350mA 4000K,  88.00 ,3
6695.32/WW,STAR 3 350mA 3000K,  88.00 ,3
6695.32/XW,STAR 3 350mA 2700K,  88.00 ,3
6696.01/W/18,STAR 4 350mA 4000K 18°,  95.00 ,3
6696.01/W/40,STAR 4 350mA 4000K 40°,  95.00 ,3
6696.01/W/60,STAR 4 350mA 4000K 60°,  95.00 ,3
6696.01/W/ST,STAR 4 350mA 4000K VETRO SAT.,  95.00 ,3
6696.01/WW/18,STAR 4 350mA 3000K 18°,  95.00 ,3
6696.01/WW/40,STAR 4 350mA 3000K 40°,  95.00 ,3
6696.01/WW/60,STAR 4 350mA 3000K 60°,  95.00 ,3
6696.01/WW/ST,STAR 4 350mA 3000K VETRO SAT.,  95.00 ,3
6696.01/XW/18,STAR 4 350mA 2700K 18°,  95.00 ,3
6696.01/XW/40,STAR 4 350mA 2700K 40°,  95.00 ,3
6696.01/XW/60,STAR 4 350mA 2700K 60°,  95.00 ,3
6696.01/XW/ST,STAR 4 350mA 2700K VETRO SAT.,  95.00 ,3
6696.02/W/18,STAR 4 350mA 4000K 18°,  95.00 ,3
6696.02/W/40,STAR 4 350mA 4000K 40°,  95.00 ,3
6696.02/W/60,STAR 4 350mA 4000K 60°,  95.00 ,3
6696.02/W/ST,STAR 4 350mA 4000K VETRO SAT.,  95.00 ,3
6696.02/WW/18,STAR 4 350mA 3000K 18°,  95.00 ,3
6696.02/WW/40,STAR 4 350mA 3000K 40°,  95.00 ,3
6696.02/WW/60,STAR 4 350mA 3000K 60°,  95.00 ,3
6696.02/WW/ST,STAR 4 350mA 3000K VETRO SAT.,  95.00 ,3
6696.02/XW/18,STAR 4 350mA 2700K 18°,  95.00 ,3
6696.02/XW/40,STAR 4 350mA 2700K 40°,  95.00 ,3
6696.02/XW/60,STAR 4 350mA 2700K 60°,  95.00 ,3
6696.02/XW/ST,STAR 4 350mA 2700K VETRO SAT.,  95.00 ,3
6696.25/W/18,STAR 4 350mA 4000K 18°,  99.00 ,3
6696.25/W/40,STAR 4 350mA 4000K 40°,  99.00 ,3
6696.25/W/60,STAR 4 350mA 4000K 60°,  99.00 ,3
6696.25/W/ST,STAR 4 350mA 4000K VETRO SAT.,  99.00 ,3
6696.25/WW/18,STAR 4 350mA 3000K 18°,  99.00 ,3
6696.25/WW/40,STAR 4 350mA 3000K 40°,  99.00 ,3
6696.25/WW/60,STAR 4 350mA 3000K 60°,  99.00 ,3
6696.25/WW/ST,STAR 4 350mA 3000K VETRO SAT.,  99.00 ,3
6696.25/XW/18,STAR 4 350mA 2700K 18°,  99.00 ,3
6696.25/XW/40,STAR 4 350mA 2700K 40°,  99.00 ,3
6696.25/XW/60,STAR 4 350mA 2700K 60°,  99.00 ,3
6696.25/XW/ST,STAR 4 350mA 2700K VETRO SAT.,  99.00 ,3
6696.32/W/18,STAR 4 350mA 4000K 18°,  96.00 ,3
6696.32/W/40,STAR 4 350mA 4000K 40°,  96.00 ,3
6696.32/W/60,STAR 4 350mA 4000K 60°,  96.00 ,3
6696.32/W/ST,STAR 4 350mA 4000K VETRO SAT.,  96.00 ,3
6696.32/WW/18,STAR 4 350mA 3000K 18°,  96.00 ,3
6696.32/WW/40,STAR 4 350mA 3000K 40°,  96.00 ,3
6696.32/WW/60,STAR 4 350mA 3000K 60°,  96.00 ,3
6696.32/WW/ST,STAR 4 350mA 3000K VETRO SAT.,  96.00 ,3
6696.32/XW/18,STAR 4 350mA 2700K 18°,  96.00 ,3
6696.32/XW/40,STAR 4 350mA 2700K 40°,  96.00 ,3
6696.32/XW/60,STAR 4 350mA 2700K 60°,  96.00 ,3
6696.32/XW/ST,STAR 4 350mA 2700K VETRO SAT.,  96.00 ,3
6697.02/WW,SEGMENTO DARK TRACK 48V,  276.00 ,1
6697.02/XW,SEGMENTO DARK TRACK 48V,  276.00 ,1
6698.01/W/15,SNORKY INCASSO 500mA 4000K,  89.00 ,1
6698.01/W/25,SNORKY INCASSO 500mA 4000K,  89.00 ,1
6698.01/W/45,SNORKY INCASSO 500mA 4000K,  89.00 ,1
6698.01/WW/15,SNORKY INCASSO 500mA 3000K,  89.00 ,1
6698.01/WW/25,SNORKY INCASSO 500mA 3000K,  89.00 ,1
6698.01/WW/45,SNORKY INCASSO 500mA 3000K,  89.00 ,1
6698.01/XW/15,SNORKY INCASSO 500mA 2700K,  89.00 ,1
6698.01/XW/25,SNORKY INCASSO 500mA 2700K,  89.00 ,1
6698.01/XW/45,SNORKY INCASSO 500mA 2700K,  89.00 ,1
6698.02/W/15,SNORKY INCASSO 500mA 4000K,  89.00 ,1
6698.02/W/25,SNORKY INCASSO 500mA 4000K,  89.00 ,1
6698.02/W/45,SNORKY INCASSO 500mA 4000K,  89.00 ,1
6698.02/WW/15,SNORKY INCASSO 500mA 3000K,  89.00 ,1
6698.02/WW/25,SNORKY INCASSO 500mA 3000K,  89.00 ,1
6698.02/WW/45,SNORKY INCASSO 500mA 3000K,  89.00 ,1
6698.02/XW/15,SNORKY INCASSO 500mA 2700K,  89.00 ,1
6698.02/XW/25,SNORKY INCASSO 500mA 2700K,  89.00 ,1
6698.02/XW/45,SNORKY INCASSO 500mA 2700K,  89.00 ,1
6699.01/XW,SEGMENTO TRACK 48V 60 CM 2700K,  180.00 ,1
6699.01/WW,SEGMENTO TRACK 48V 60 CM 3000K,  180.00 ,1
6699.02/XW,SEGMENTO TRACK 48V 60 CM 2700K,  180.00 ,1
6699.02/WW,SEGMENTO TRACK 48V 60 CM 3000K,  180.00 ,1
6700.01/XW,SEGMENTO TRACK 48V 90 CM 2700K,  196.00 ,3
6700.01/WW,SEGMENTO TRACK 48V 90 CM 3000K,  196.00 ,3
6700.02/XW,SEGMENTO TRACK 48V 90 CM 2700K,  196.00 ,3
6700.02/WW,SEGMENTO TRACK 48V 90 CM 3000K,  196.00 ,3
6701.02/W,FARETTO MATITA 30 CM 4000K,  102.00 ,3
6701.02/WW,FARETTO MATITA 30 CM 3000K,  102.00 ,3
6701.02/XW,FARETTO MATITA 30 CM 2700K,  102.00 ,3
6702.02/W,FARETTO MATITA 50 CM 4000K,  113.00 ,3
6702.02/WW,FARETTO MATITA 50 CM 3000K,  113.00 ,3
6702.02/XW,FARETTO MATITA 50 CM 2700K,  113.00 ,3
6703.02/W,FARETTO MATITA 70 CM 4000K,  125.00 ,3
6703.02/WW,FARETTO MATITA 70 CM 3000K,  125.00 ,3
6703.02/XW,FARETTO MATITA 70 CM 2700K,  125.00 ,3
6704.01/W/25,IRIS TRACK 48V 4000K 25°,  162.00 ,3
6704.01/W/48,IRIS TRACK 48V 4000K 48°,  162.00 ,3
6704.01/W/63,IRIS TRACK 48V 4000K 63°,  162.00 ,3
6704.01/W/ST,IRIS TRACK 48V 4000K VETRO SAT,  162.00 ,3
6704.01/WW/25,IRIS TRACK 48V 3000K 25°,  162.00 ,3
6704.01/WW/48,IRIS TRACK 48V 3000K 48°,  162.00 ,3
6704.01/WW/63,IRIS TRACK 48V 3000K 63°,  162.00 ,3
6704.01/WW/ST,IRIS TRACK 48V 3000K VETRO SAT,  162.00 ,3
6704.01/XW/25,IRIS TRACK 48V 2700K 25°,  162.00 ,3
6704.01/XW/48,IRIS TRACK 48V 2700K 48°,  162.00 ,3
6704.01/XW/63,IRIS TRACK 48V 2700K 63°,  162.00 ,3
6704.01/XW/ST,IRIS TRACK 48V 2700K VETRO SAT,  162.00 ,3
6704.02/W/25,IRIS TRACK 48V 4000K 25°,  162.00 ,3
6704.02/W/48,IRIS TRACK 48V 4000K 48°,  162.00 ,3
6704.02/W/63,IRIS TRACK 48V 4000K 63°,  162.00 ,3
6704.02/W/ST,IRIS TRACK 48V 4000K VETRO SAT,  162.00 ,3
6704.02/WW/25,IRIS TRACK 48V 3000K 25°,  162.00 ,3
6704.02/WW/48,IRIS TRACK 48V 3000K 48°,  162.00 ,3
6704.02/WW/63,IRIS TRACK 48V 3000K 63°,  162.00 ,3
6704.02/WW/ST,IRIS TRACK 48V 3000K VETRO SAT,  162.00 ,3
6704.02/XW/25,IRIS TRACK 48V 2700K 25°,  162.00 ,3
6704.02/XW/48,IRIS TRACK 48V 2700K 48°,  162.00 ,3
6704.02/XW/63,IRIS TRACK 48V 2700K 63°,  162.00 ,3
6704.02/XW/ST,IRIS TRACK 48V 2700K VETRO SAT,  162.00 ,3
6705.01/W/12,STAR MAXI 1 500mA 4000K 12°,  168.00 ,3
6705.01/W/40,STAR MAXI 1 500mA 4000K 40°,  168.00 ,3
6705.01/W/ST,STAR MAXI 1 500mA 4000K ST,  168.00 ,3
6705.01/WW/12,STAR MAXI 1 500mA 3000K 12°,  168.00 ,3
6705.01/WW/40,STAR MAXI 1 500mA 3000K 40°,  168.00 ,3
6705.01/WW/ST,STAR MAXI 1 500mA 3000K ST,  168.00 ,3
6705.01/XW/12,STAR MAXI 1 500mA 2700K 12°,  168.00 ,3
6705.01/XW/40,STAR MAXI 1 500mA 2700K 40°,  168.00 ,3
6705.01/XW/ST,STAR MAXI 1 500mA 2700K ST,  168.00 ,3
6705.02/W/12,STAR MAXI 1 500mA 4000K 12°,  168.00 ,3
6705.02/W/40,STAR MAXI 1 500mA 4000K 40°,  168.00 ,3
6705.02/W/ST,STAR MAXI 1 500mA 4000K ST,  168.00 ,3
6705.02/WW/12,STAR MAXI 1 500mA 3000K 12°,  168.00 ,3
6705.02/WW/40,STAR MAXI 1 500mA 3000K 40°,  168.00 ,3
6705.02/WW/ST,STAR MAXI 1 500mA 3000K ST,  168.00 ,3
6705.02/XW/12,STAR MAXI 1 500mA 2700K 12°,  168.00 ,3
6705.02/XW/40,STAR MAXI 1 500mA 2700K 40°,  168.00 ,3
6705.02/XW/ST,STAR MAXI 1 500mA 2700K ST,  168.00 ,3
6705.25/W/12,STAR MAXI 1 500mA 4000K 12°,  188.00 ,3
6705.25/W/40,STAR MAXI 1 500mA 4000K 40°,  188.00 ,3
6705.25/W/ST,STAR MAXI 1 500mA 4000K ST,  188.00 ,3
6705.25/WW/12,STAR MAXI 1 500mA 3000K 12°,  188.00 ,3
6705.25/WW/40,STAR MAXI 1 500mA 3000K 40°,  188.00 ,3
6705.25/WW/ST,STAR MAXI 1 500mA 3000K ST,  188.00 ,3
6705.25/XW/12,STAR MAXI 1 500mA 2700K 12°,  188.00 ,3
6705.25/XW/40,STAR MAXI 1 500mA 2700K 40°,  188.00 ,3
6705.25/XW/ST,STAR MAXI 1 500mA 2700K ST,  188.00 ,3
6705.32/W/12,STAR MAXI 1 500mA 4000K 12°,  188.00 ,3
6705.32/W/40,STAR MAXI 1 500mA 4000K 40°,  188.00 ,3
6705.32/W/ST,STAR MAXI 1 500mA 4000K ST,  188.00 ,3
6705.32/WW/12,STAR MAXI 1 500mA 3000K 12°,  188.00 ,3
6705.32/WW/40,STAR MAXI 1 500mA 3000K 40°,  188.00 ,3
6705.32/WW/ST,STAR MAXI 1 500mA 3000K ST,  188.00 ,3
6705.32/XW/12,STAR MAXI 1 500mA 2700K 12°,  188.00 ,3
6705.32/XW/40,STAR MAXI 1 500mA 2700K 40°,  188.00 ,3
6705.32/XW/ST,STAR MAXI 1 500mA 2700K ST,  188.00 ,3
6706.01/W/12,STAR MAXI 2 500mA 4000K 12°,  186.00 ,3
6706.01/W/40,STAR MAXI 2 500mA 4000K 40°,  186.00 ,3
6706.01/W/ST,STAR MAXI 2 500mA 4000K ST,  186.00 ,3
6706.01/WW/12,STAR MAXI 2 500mA 3000K 12°,  186.00 ,3
6706.01/WW/40,STAR MAXI 2 500mA 3000K 40°,  186.00 ,3
6706.01/WW/ST,STAR MAXI 2 500mA 3000K ST,  186.00 ,3
6706.01/XW/12,STAR MAXI 2 500mA 2700K 12°,  186.00 ,3
6706.01/XW/40,STAR MAXI 2 500mA 2700K 40°,  186.00 ,3
6706.01/XW/ST,STAR MAXI 2 500mA 2700K ST,  186.00 ,3
6706.02/W/12,STAR MAXI 2 500mA 4000K 12°,  186.00 ,3
6706.02/W/40,STAR MAXI 2 500mA 4000K 40°,  186.00 ,3
6706.02/W/ST,STAR MAXI 2 500mA 4000K ST,  186.00 ,3
6706.02/WW/12,STAR MAXI 2 500mA 3000K 12°,  186.00 ,3
6706.02/WW/40,STAR MAXI 2 500mA 3000K 40°,  186.00 ,3
6706.02/WW/ST,STAR MAXI 2 500mA 3000K ST,  186.00 ,3
6706.02/XW/12,STAR MAXI 2 500mA 2700K 12°,  186.00 ,3
6706.02/XW/40,STAR MAXI 2 500mA 2700K 40°,  186.00 ,3
6706.02/XW/ST,STAR MAXI 2 500mA 2700K ST,  186.00 ,3
6707.01/W,STAR MAXI 3 500mA 4000K,  153.00 ,3
6707.01/WW,STAR MAXI 3 500mA 3000K,  153.00 ,3
6707.01/XW,STAR MAXI 3 500mA 2700K,  153.00 ,3
6707.02/W,STAR MAXI 3 500mA 4000K,  153.00 ,3
6707.02/WW,STAR MAXI 3 500mA 3000K,  153.00 ,3
6707.02/XW,STAR MAXI 3 500mA 2700K,  153.00 ,3
6707.25/W,STAR MAXI 3 500mA 4000K,  181.00 ,3
6707.25/WW,STAR MAXI 3 500mA 3000K,  181.00 ,3
6707.25/XW,STAR MAXI 3 500mA 2700K,  181.00 ,3
6707.32/W,STAR MAXI 3 500mA 4000K,  181.00 ,3
6707.32/WW,STAR MAXI 3 500mA 3000K,  181.00 ,3
6707.32/XW,STAR MAXI 3 500mA 2700K,  181.00 ,3
6708.01/W/12,STAR MAXI 4 500mA 4000K 12°,  172.00 ,3
6708.01/W/40,STAR MAXI 4 500mA 4000K 40°,  172.00 ,3
6708.01/W/ST,STAR MAXI 4 500mA 4000K ST,  172.00 ,3
6708.01/WW/12,STAR MAXI 4 500mA 3000K 12°,  172.00 ,3
6708.01/WW/40,STAR MAXI 4 500mA 3000K 40°,  172.00 ,3
6708.01/WW/ST,STAR MAXI 4 500mA 3000K ST,  172.00 ,3
6708.01/XW/12,STAR MAXI 4 500mA 2700K 12°,  172.00 ,3
6708.01/XW/40,STAR MAXI 4 500mA 2700K 40°,  172.00 ,3
6708.01/XW/ST,STAR MAXI 4 500mA 2700K ST,  172.00 ,3
6708.02/W/12,STAR MAXI 4 500mA 4000K 12°,  172.00 ,3
6708.02/W/40,STAR MAXI 4 500mA 4000K 40°,  172.00 ,3
6708.02/W/ST,STAR MAXI 4 500mA 4000K ST,  172.00 ,3
6708.02/WW/12,STAR MAXI 4 500mA 3000K 12°,  172.00 ,3
6708.02/WW/40,STAR MAXI 4 500mA 3000K 40°,  172.00 ,3
6708.02/WW/ST,STAR MAXI 4 500mA 3000K ST,  172.00 ,3
6708.02/XW/12,STAR MAXI 4 500mA 2700K 12°,  172.00 ,3
6708.02/XW/40,STAR MAXI 4 500mA 2700K 40°,  172.00 ,3
6708.02/XW/ST,STAR MAXI 4 500mA 2700K ST,  172.00 ,3
6710.01/W/24,STAR MEDIUM 1 500mA 4000K 24°,  106.00 ,3
6710.01/W/40,STAR MEDIUM 1 500mA 4000K 40°,  106.00 ,3
6710.01/W/60,STAR MEDIUM 1 500mA 4000K 60°,  106.00 ,3
6710.01/W/ST,STAR MEDIUM 1 500mA 4000K ST,  106.00 ,3
6710.01/WW/24,STAR MEDIUM 1 500mA 3000K 24°,  106.00 ,3
6710.01/WW/40,STAR MEDIUM 1 500mA 3000K 40°,  106.00 ,3
6710.01/WW/60,STAR MEDIUM 1 500mA 3000K 60°,  106.00 ,3
6710.01/WW/ST,STAR MEDIUM 1 500mA 3000K ST,  106.00 ,3
6710.01/XW/24,STAR MEDIUM 1 500mA 2700K 24°,  106.00 ,3
6710.01/XW/40,STAR MEDIUM 1 500mA 2700K 40°,  106.00 ,3
6710.01/XW/60,STAR MEDIUM 1 500mA 2700K 60°,  106.00 ,3
6710.01/XW/ST,STAR MEDIUM 1 500mA 2700K ST,  106.00 ,3
6710.02/W/24,STAR MEDIUM 1 500mA 4000K 24°,  106.00 ,3
6710.02/W/40,STAR MEDIUM 1 500mA 4000K 40°,  106.00 ,3
6710.02/W/60,STAR MEDIUM 1 500mA 4000K 60°,  106.00 ,3
6710.02/W/ST,STAR MEDIUM 1 500mA 4000K ST,  106.00 ,3
6710.02/WW/24,STAR MEDIUM 1 500mA 3000K 24°,  106.00 ,3
6710.02/WW/40,STAR MEDIUM 1 500mA 3000K 40°,  106.00 ,3
6710.02/WW/60,STAR MEDIUM 1 500mA 3000K 60°,  106.00 ,3
6710.02/WW/ST,STAR MEDIUM 1 500mA 3000K ST,  106.00 ,3
6710.02/XW/24,STAR MEDIUM 1 500mA 2700K 24°,  106.00 ,3
6710.02/XW/40,STAR MEDIUM 1 500mA 2700K 40°,  106.00 ,3
6710.02/XW/60,STAR MEDIUM 1 500mA 2700K 60°,  106.00 ,3
6710.02/XW/ST,STAR MEDIUM 1 500mA 2700K ST,  106.00 ,3
6710.25/W/24,STAR MEDIUM 1 500mA 4000K 24°,  126.00 ,3
6710.25/W/40,STAR MEDIUM 1 500mA 4000K 40°,  126.00 ,3
6710.25/W/60,STAR MEDIUM 1 500mA 4000K 60°,  126.00 ,3
6710.25/W/ST,STAR MEDIUM 1 500mA 4000K ST,  126.00 ,3
6710.25/WW/24,STAR MEDIUM 1 500mA 3000K 24°,  126.00 ,3
6710.25/WW/40,STAR MEDIUM 1 500mA 3000K 40°,  126.00 ,3
6710.25/WW/60,STAR MEDIUM 1 500mA 3000K 60°,  126.00 ,3
6710.25/WW/ST,STAR MEDIUM 1 500mA 3000K ST,  126.00 ,3
6710.25/XW/24,STAR MEDIUM 1 500mA 2700K 24°,  126.00 ,3
6710.25/XW/40,STAR MEDIUM 1 500mA 2700K 40°,  126.00 ,3
6710.25/XW/60,STAR MEDIUM 1 500mA 2700K 60°,  126.00 ,3
6710.25/XW/ST,STAR MEDIUM 1 500mA 2700K ST,  126.00 ,3
6710.32/W/24,STAR MEDIUM 1 500mA 4000K 24°,  124.00 ,3
6710.32/W/40,STAR MEDIUM 1 500mA 4000K 40°,  124.00 ,3
6710.32/W/60,STAR MEDIUM 1 500mA 4000K 60°,  124.00 ,3
6710.32/W/ST,STAR MEDIUM 1 500mA 4000K ST,  124.00 ,3
6710.32/WW/24,STAR MEDIUM 1 500mA 3000K 24°,  124.00 ,3
6710.32/WW/40,STAR MEDIUM 1 500mA 3000K 40°,  124.00 ,3
6710.32/WW/60,STAR MEDIUM 1 500mA 3000K 60°,  124.00 ,3
