Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0182.01,SCHERMO X LUCE MONODIREZION.,  17.50 ,3
0182.02,SCHERMO X LUCE MONODIREZION.,  17.50 ,3
0182.35,SCHERMO X LUCE MONODIREZION.,  17.50 ,3
0183/ST,SCHERMO POLICARB. SATINATO,  3.00 ,3
0183/TR,SCHERMO POLICARB. TRASP.,  3.00 ,3
0187.01,CORNICE ALEA AXTURA TRIANGOL.,  16.00 ,3
0187.02,CORNICE ALEA AXTURA TRIANGOL.,  16.00 ,3
0187.35,CORNICE ALEA AXTURA TRIANGOL.,  16.00 ,3
0189.01,CORNICE ALEA CON TAGLIO,  15.00 ,3
0189.02,CORNICE ALEA CON TAGLIO,  15.00 ,3
0189.35,CORNICE ALEA CON TAGLIO,  15.00 ,3
0199,VETRO SATINATO CON MOLLE X EDY,  7.00 ,3
01LC1,LAMP. E27 ARGENTO DIMM,  24.00 ,3
01LC2,LAMP. E27 RAME DIMM,  24.00 ,3
01LCR1,LAMP. E27 CRYSTAL DIMM,  55.00 ,3
01LCR2,LAMP. E27 CRYSTAL DIMM,  55.00 ,3
01LCR3,LAMP. E27 CRYSTAL DIMM,  55.00 ,3
01LCR4,LAMP. E27 CRYSTAL DIMM,  55.00 ,3
01LP1,LAMP. E27 PORCELLANA DIMM,  65.00 ,3
01LP2,LAMP. E27 PORCELLANA DIMM,  72.00 ,3
01LP4,LAMP. E27 PORCELLANA DIMM,  60.00 ,3
01LP5,LAMP. E27 PORCELLANA DIMM,  70.00 ,3
01LP6,LAMP. E27 PORCELLANA DIMM,  78.00 ,3
01LP7,LAMP. E27 PORCELLANA DIMM,  96.00 ,3
01LP8,LAMP. E27 PORCELLANA DIMM,  62.00 ,3
0200,CASSAFORMA X MURATURA,  19.00 ,3
0201,PLASTER KIT TRAFORATO,  16.00 ,3
0203,PLASTER KIT TRAFORATO,  14.00 ,3
0205.01,ACCESS. VETRO PIANO X ALEA,  23.00 ,3
0205.02,ACCESS. VETRO PIANO X ALEA,  23.00 ,3
0205.35,ACCESS. VETRO PIANO X ALEA,  23.00 ,3
0206.01,CASS. TONDA X SCOMPARSA,  39.00 ,3
0206.02,CASS. TONDA X SCOMPARSA,  39.00 ,3
0207.01,CASS. QUADRA X SCOMPARSA,  57.00 ,3
0207.02,CASS. QUADRA X SCOMPARSA,  57.00 ,3
0208,ADATT. X DOGHE X 6320/21,  5.00 ,3
0209,ADATT. X DOGHE X 6322/23,  6.00 ,3
0210/100,CASSAFORMA X LINEA 6615/6/7/8,  49.00 ,3
